(base) robertselwyn:src on main [!?]$ python3 new_cfr_full_range.py 
0
PRINTING HAND INFORMATION
-------- ITER 0 -------
/Users/robertselwyn/Desktop/Stanford/cs/cs238/final_proj/src/new_cfr_full_range.py:34: RuntimeWarning: divide by zero encountered in double_scalars
  display_results(expected_game_value / a, i_map)
player 1 expected value: inf
player 2 expected value: -inf

3h5h rrc ['0.50', '0.50']
3h5s rrb ['0.50', '0.50']
3h5s rrc ['0.50', '0.50']
3h6c rrb ['0.50', '0.50']
3h6c rrc ['0.50', '0.50']
3h6h rrb ['0.50', '0.50']
3h6h rrc ['0.50', '0.50']
3h6s rrb ['0.50', '0.50']
3h6s rrc ['0.50', '0.50']
3h7c rrb ['0.50', '0.50']
3h7c rrc ['0.50', '0.50']
3h7h rrb ['0.50', '0.50']
3h7h rrc ['0.50', '0.50']
3h7s rrb ['0.50', '0.50']
3h7s rrc ['0.50', '0.50']
3h8c rrb ['0.50', '0.50']
3h8c rrc ['0.50', '0.50']
3h8h rrb ['0.50', '0.50']
3h8h rrc ['0.50', '0.50']
3h8s rrb ['0.50', '0.50']
3h8s rrc ['0.50', '0.50']
3h9c rrb ['0.50', '0.50']
3h9c rrc ['0.50', '0.50']
3h9h rrb ['0.50', '0.50']
3h9h rrc ['0.50', '0.50']
3h9s rrb ['0.50', '0.50']
3h9s rrc ['0.50', '0.50']
3hAc rrb ['0.50', '0.50']
3hAc rrc ['0.50', '0.50']
3hAh rrb ['0.50', '0.50']
3hAh rrc ['0.50', '0.50']
3hAs rrb ['0.50', '0.50']
3hAs rrc ['0.50', '0.50']
3hJc rrb ['0.50', '0.50']
3hJc rrc ['0.50', '0.50']
3hJh rrb ['0.50', '0.50']
3hJh rrc ['0.50', '0.50']
3hJs rrb ['0.50', '0.50']
3hJs rrc ['0.50', '0.50']
3hKc rrb ['0.50', '0.50']
3hKc rrc ['0.50', '0.50']
3hKh rrb ['0.50', '0.50']
3hKh rrc ['0.50', '0.50']
3hKs rrb ['0.50', '0.50']
3hKs rrc ['0.50', '0.50']
3hQc rrb ['0.50', '0.50']
3hQc rrc ['0.50', '0.50']
3hQh rrb ['0.50', '0.50']
3hQh rrc ['0.50', '0.50']
3hQs rrb ['0.50', '0.50']
3hQs rrc ['0.50', '0.50']
3hTc rrb ['0.50', '0.50']
3hTc rrc ['0.50', '0.50']
3hTh rrb ['0.50', '0.50']
3hTh rrc ['0.50', '0.50']
3hTs rrb ['0.50', '0.50']
3hTs rrc ['0.50', '0.50']
3s3c rrb ['0.50', '0.50']
3s3c rrc ['0.50', '0.50']
3s4c rrb ['0.50', '0.50']
3s4c rrc ['0.50', '0.50']
3s4h rrb ['0.50', '0.50']
3s4h rrc ['0.50', '0.50']
